UniProtID,all_members_community,subclass
A0A6P6VCK5,Community1,CC-NLR
A0A068UTU8,Community1,CC-NLR
A0A4S4D0H7,Community1,CC-NLR
A0A6A3CDD9,Community1,CC-NLR
A0A6P6ALR2,Community1,CC-NLR
A0A6P6UV89,Community1,CC-NLR
A0A6P6V4J7,Community1,CC-NLR
A0A6P6VAU4,Community1,CC-NLR
A0A6P6VB56,Community1,CC-NLR
A0A6P6VCJ1,Community1,CC-NLR
A0A6P6WMI3,Community1,CC-NLR
A0A6P6X416,Community1,CC-NLR
A0A6P6XGD8,Community1,CC-NLR
A0A540LEQ1,Community1,CC-NLR
A0A068TX24,Community1,CC-NLR
A0A068VEG5,Community1,CC-NLR
A0A6P6UYP7,Community1,CC-NLR
A0A6P6VAH6,Community1,CC-NLR
A0A3Q7FVG3,Community1,CC-NLR
A9QGV1,Community1,CC-NLR
A0A1J6K1X9,Community1,CC-NLR
A0A5C7HDD4,Community1,CC-NLR
A0A678QSS1,Community1,CC-NLR
A9QGW7,Community1,CC-NLR
M1D3S7,Community1,CC-NLR
A0A068U720,Community1,CC-NLR
A0A068U4E5,Community1,CC-NLR
A0A7N2MSV8,Community1,CC-NLR
A0A068VIV9,Community1,CC-NLR
A0A068VPJ0,Community1,CC-NLR
A0A068V897,Community1,CC-NLR
A0A2P5W1X4,Community1,CC-NLR
A0A438GYD4,Community1,CC-NLR
A0A6P6TCW5,Community1,CC-NLR
A0A6P6WQT3,Community1,CC-NLR
F1C965,Community1,CC-NLR
A0A068U9A1,Community1,CC-NLR
A0A068UW70,Community1,CC-NLR
A0A6P6S529,Community1,CC-NLR
A0A6P6S9R8,Community1,CC-NLR
A0A6P6SB49,Community1,CC-NLR
A0A6P6SEK5,Community1,CC-NLR
A0A6P6T9X3,Community1,CC-NLR
A0A6P6VH90,Community1,CC-NLR
A0A068UHS6,Community1,CC-NLR
A0A068UIK2,Community1,CC-NLR
A0A068UJH4,Community1,CC-NLR
A0A6P6TAG1,Community1,CC-NLR
A0A6P6TFQ5,Community1,CC-NLR
A0A068UU03,Community1,CC-NLR
A0A068UA59,Community1,CC-NLR
A0A068UYW8,Community1,CC-NLR
A0A7N2MT71,Community1,CC-NLR
A0A068VAE6,Community1,CC-NLR
A0A068UHQ9,Community1,CC-NLR
A0A068UX14,Community1,CC-NLR
A0A068VAV9,Community1,CC-NLR
A0A068VFW8,Community1,CC-NLR
A0A0D9XIA6,Community1,CC-NLR
A0A0D9XIA5,Community1,CC-NLR
A0A0D9XZR4,Community1,CC-NLR
A0A835FE53,Community1,CC-NLR
A0A1Z5RK00,Community1,CC-NLR
D2KPB1,Community1,CC-NLR
A0A0E0QVU1,Community1,CC-NLR
A0A3G2KWQ0,Community1,CC-NLR
A0A835DU54,Community1,CC-NLR
A0A835KL11,Community1,CC-NLR
A0A175YR29,Community1,CC-NLR
B9SZH6,Community1,CC-NLR
A0A1U7V242,Community1,CC-NLR
A0A6P4A2C6,Community1,CC-NLR
A0A7I8LF30,Community1,CC-NLR
A0A7J6WQW2,Community1,CC-NLR
A0A061FZT5,Community1,CC-NLR
A0A5D2S3F3,Community1,CC-NLR
A0A5J5PWL2,Community1,CC-NLR
J3KYN2,Community1,CC-NLR
A0A2G9HR09,Community1,CC-NLR
A0A2P5AWZ0,Community1,CC-NLR
A0A314UNE9,Community1,CC-NLR
A0A3S3QGV5,Community1,CC-NLR
A0A438BQF6,Community1,CC-NLR
A0A2K1YLB5,Community1,CC-NLR
A0A438FYE6,Community1,CC-NLR
A0A3Q7FCU4,Community1,CC-NLR
A0A1S3BXM2,Community1,CC-NLR
A0A2P6RMG7,Community1,CC-NLR
A0A6N2B5V9,Community1,CC-NLR
A0A4S4DET8,Community1,CC-NLR
G7IVS6,Community1,CC-NLR
A0A0E0LJA6,Community1,CC-NLR
A0A392LXK2,Community1,CC-NLR
A0A438HRQ6,Community1,CC-NLR
A0A438I9F8,Community1,CC-NLR
A0A5B8HAW1,Community1,CC-NLR
A0A5C7I7L8,Community1,CC-NLR
A0A5D2F471,Community1,CC-NLR
A0A5C7INK4,Community1,CC-NLR
A0A5C7IQ46,Community1,CC-NLR
A0A5J5P6V9,Community1,CC-NLR
A0A6A2ZDF2,Community1,CC-NLR
A0A6P5EC33,Community1,CC-NLR
A0A6P5TPQ1,Community1,CC-NLR
A0A6P6G0Z8,Community1,CC-NLR
A0A6P6X456,Community1,CC-NLR
A0A068VG80,Community1,CC-NLR
J3N9L5,Community1,CC-NLR
A0A3B6U099,Community1,CC-NLR
M8B327,Community1,CC-NLR
A0A317Y5F6,Community1,CC-NLR
A0A6P6X6P2,Community1,CC-NLR
A0A438IIX8,Community1,CC-NLR
A0A6P6X653,Community1,CC-NLR
A0A6P6X811,Community1,CC-NLR
A0A6P6XC08,Community1,CC-NLR
A0A6P6XEW6,Community1,CC-NLR
A0A6P6XFJ0,Community1,CC-NLR
A0A6P6XI32,Community1,CC-NLR
A0A6P6XKL2,Community1,CC-NLR
A0A7N0ZYJ7,Community1,CC-NLR
A0A834WEN0,Community1,CC-NLR
A2XL82,Community1,CC-NLR
A0A6P6UW02,Community1,CC-NLR
C7IZF5,Community1,CC-NLR
A0A396HFN8,Community1,CC-NLR
A3ALY6,Community1,CC-NLR
A0A0D9ZCA5,Community1,CC-NLR
D7LN44,Community1,CC-NLR
E0Y3V3,Community1,CC-NLR
K4BPC1,Community1,CC-NLR
A0A6N2BMV9,Community1,CC-NLR
M1C8T7,Community1,CC-NLR
M1D5Z1,Community1,CC-NLR
A0A1S4AWE9,Community1,CC-NLR
A0A2G2ZRC0,Community1,CC-NLR
E0Y3V7,Community1,CC-NLR
E0Y3W4,Community1,CC-NLR
E0Y3W8,Community1,CC-NLR
F6I137,Community1,CC-NLR
I1PEW8,Community1,CC-NLR
J3LS28,Community1,CC-NLR
A0A0E0KI29,Community1,CC-NLR
M1D623,Community1,CC-NLR
V4SIG9,Community1,CC-NLR
A0A068VH43,Community1,CC-NLR
A0A068VL25,Community1,CC-NLR
A0A453JC19,Community1,CC-NLR
A0A453JBV8,Community1,CC-NLR
A0A3B6U2P1,Community1,CC-NLR
A0A068VHN8,Community1,CC-NLR
A0A022PPJ5,Community1,CC-NLR
A0A058ZT89,Community1,CC-NLR
A0A068VAX0,Community1,CC-NLR
A0A068VG15,Community1,CC-NLR
A0A2N9H2S2,Community1,CC-NLR
A0A2P5BYK9,Community1,CC-NLR
A0A5D2TCY0,Community1,CC-NLR
A0A6J1FTD2,Community1,CC-NLR
A0A803LBN9,Community1,CC-NLR
A0A803MEH3,Community1,CC-NLR
A0A2K3NYK0,Community1,CC-NLR
A0A803MLB9,Community1,CC-NLR
A0A803Q299,Community1,CC-NLR
A0A830C7S7,Community1,CC-NLR
M8CJK0,Community1,CC-NLR
A0A068VLB5,Community1,CC-NLR
A0A078FKW3,Community1,CC-NLR
A0A816IAZ6,Community1,CC-NLR
D1GEC8,Community1,CC-NLR
A0A0E0MML8,Community1,CC-NLR
A0A0E0MWZ8,Community1,CC-NLR
I1IIA3,Community1,CC-NLR
A0A0E0MVB1,Community1,CC-NLR
A0A0D3EMZ4,Community1,CC-NLR
A0A0E0C129,Community1,CC-NLR
A0A0E0FKS9,Community1,CC-NLR
A0A0U2S1J3,Community1,CC-NLR
A3AJ55,Community1,CC-NLR
A0A0P0V1M6,Community1,CC-NLR
A0A0U2RPK1,Community1,CC-NLR
A0A0U2RTK4,Community1,CC-NLR
A0A438C917,Community1,CC-NLR
A0A0Q3FTF0,Community1,CC-NLR
A0A7J6DTD6,Community1,CC-NLR
A0A7N2LDA6,Community1,CC-NLR
A2XF79,Community1,CC-NLR
I1NVU0,Community1,CC-NLR
A0A0E0P4H9,Community1,CC-NLR
Q8S454,Community1,CC-NLR
A0A0E0P5N6,Community1,CC-NLR
A0A1Z5RBU2,Community1,CC-NLR
A0A3B6BYD9,Community1,CC-NLR
A0A0D9W2I9,Community1,CC-NLR
A0A0E0B0S5,Community1,CC-NLR
A0A2G5CN76,Community1,CC-NLR
A0A3Q7J4D8,Community1,CC-NLR
A0A540K8A6,Community1,CC-NLR
A0A6M5WSJ6,Community1,CC-NLR
A0A803QNA3,Community1,CC-NLR
A0A835D8L1,Community1,CC-NLR
B8A7G1,Community1,CC-NLR
J3LVW5,Community1,CC-NLR
M0UDU5,Community1,CC-NLR
M8B5S5,Community1,CC-NLR
M8BCQ4,Community1,CC-NLR
W1PHD4,Community1,CC-NLR
A0A453ADD3,Community1,CC-NLR
A0A068V532,Community1,CC-NLR
A0A6J5V9A5,Community1,CC-NLR
A0A6N2NFD9,Community1,CC-NLR
Q2QW74,Community1,CC-NLR
A0A251NWM3,Community1,CC-NLR
M1BUB2,Community1,CC-NLR
A0A5S9YEH6,Community1,CC-NLR
A0A654G7M7,Community1,CC-NLR
A0A830B995,Community1,CC-NLR
B8AVR2,Community1,CC-NLR
A0A6I9QGS7,Community1,CC-NLR
A0A0A0LNG8,Community1,CC-NLR
A0A178W7Y7,Community1,CC-NLR
A0A453MKX2,Community1,CC-NLR
A0A0Q3GLQ0,Community1,CC-NLR
A0A172GYJ0,Community1,CC-NLR
A0A3B6LYQ2,Community1,CC-NLR
A0A0E0QIL9,Community1,CC-NLR
A0A0E0IBG5,Community1,CC-NLR
A0A0E0QVY8,Community1,CC-NLR
A0A0D9W1D7,Community1,CC-NLR
A0A194YGQ5,Community1,CC-NLR
A0A0U2QSF9,Community1,CC-NLR
A0A453GVA0,Community1,CC-NLR
A3C286,Community1,CC-NLR
M8AHN0,Community1,CC-NLR
Q8L441,Community1,CC-NLR
A0A0E0R2Q2,Community1,CC-NLR
A0A0E0R665,Community1,CC-NLR
A0A0E0R669,Community1,CC-NLR
A0A0D3HJT4,Community1,CC-NLR
A0A2S3I0L2,Community1,CC-NLR
A0A0E0RAQ4,Community1,CC-NLR
A0A3B6I6J2,Community1,CC-NLR
A0A3B6I6I3,Community1,CC-NLR
A0A453KY07,Community1,CC-NLR
A0A3B6LMR6,Community1,CC-NLR
A0A4U6TKA2,Community1,CC-NLR
A0A0E0RBQ0,Community1,CC-NLR
A0A0E0K163,Community1,CC-NLR
A0A0E0NGF5,Community1,CC-NLR
A0A0E0QEV9,Community1,CC-NLR
A0A1D6IR92,Community1,CC-NLR
A0A1D6IR98,Community1,CC-NLR
A0A287MIX9,Community1,CC-NLR
A0A3B6EU44,Community1,CC-NLR
A0A453GL09,Community1,CC-NLR
A0A835K9X0,Community1,CC-NLR
A0A3B6N1H5,Community1,CC-NLR
A0A453GKT6,Community1,CC-NLR
A0A4S4DNI8,Community1,CC-NLR
A0A5J9U8V9,Community1,CC-NLR
A0A804PT68,Community1,CC-NLR
A0A1D6LLG4,Community1,CC-NLR
A0A804PT23,Community1,CC-NLR
A0A835ANT6,Community1,CC-NLR
A3BAS8,Community1,CC-NLR
B8BFH7,Community1,CC-NLR
D5J6W1,Community1,CC-NLR
A0A452XM30,Community1,CC-NLR
A0A3B5ZP60,Community1,CC-NLR
S5DMA0,Community1,CC-NLR
B9FZ27,Community1,CC-NLR
Q6YYL3,Community1,CC-NLR
J3N9A9,Community1,CC-NLR
A0A811Q7A3,Community1,CC-NLR
A0A811Q7N6,Community1,CC-NLR
A0A835F112,Community1,CC-NLR
M7ZFR6,Community1,CC-NLR
M8CU94,Community1,CC-NLR
S5ABD0,Community1,CC-NLR
A0A0E0RF05,Community1,CC-NLR
A0A0P0Y821,Community1,CC-NLR
A0A0E0J7V7,Community1,CC-NLR
A0A199ULU7,Community1,CC-NLR
I1R4U7,Community1,CC-NLR
A0A0E0RHT6,Community1,CC-NLR
A0A0K9NL64,Community1,CC-NLR
A0A438GPS4,Community1,CC-NLR
A0A0P0XCT4,Community1,CC-NLR
A0A0D3F416,Community1,CC-NLR
A0A0D3F417,Community1,CC-NLR
A0A0D3HP58,Community1,CC-NLR
A0A368QMK5,Community1,CC-NLR
A0A0D3HT48,Community1,CC-NLR
A0A0E0BSJ2,Community1,CC-NLR
A0A0E0G893,Community1,CC-NLR
A0A0E0IQJ7,Community1,CC-NLR
A0A0E0JA54,Community1,CC-NLR
A0A0E0LV04,Community1,CC-NLR
A0A0E0QDD4,Community1,CC-NLR
A0A811REE4,Community1,CC-NLR
A0A0E0QF17,Community1,CC-NLR
Q6ZBT2,Community1,CC-NLR
A0A0E0RFT9,Community1,CC-NLR
A0A3L6RLV0,Community1,CC-NLR
A0A0E0RH58,Community1,CC-NLR
A0A1Z5RGX5,Community1,CC-NLR
A0A2R3ZVC4,Community1,CC-NLR
A0A2S3IE16,Community1,CC-NLR
A0A368RHN8,Community1,CC-NLR
A0A3B5Z5M5,Community1,CC-NLR
A0A0E0J4I5,Community1,CC-NLR
A0A2S3I0M6,Community1,CC-NLR
A0A368S5U1,Community1,CC-NLR
A0A3B5Z590,Community1,CC-NLR
R7WC47,Community1,CC-NLR
A0A3B6UAG6,Community1,CC-NLR
A0A3B6PTX8,Community1,CC-NLR
A0A3B6PUM1,Community1,CC-NLR
A0A4U6TYU1,Community1,CC-NLR
A0A291B3W5,Community1,CC-NLR
A0A7T8G1L3,Community1,CC-NLR
A0A291B426,Community1,CC-NLR
A0A291B5C0,Community1,CC-NLR
A0A3B6NW89,Community1,CC-NLR
A0A3L6G923,Community1,CC-NLR
A0A3B5Z601,Community1,CC-NLR
A0A3B6FEE1,Community1,CC-NLR
A0A811PXL4,Community1,CC-NLR
F2DKG2,Community1,CC-NLR
A0A3B6GMQ2,Community1,CC-NLR
A0A453DZP5,Community1,CC-NLR
A0A3B6N1T3,Community1,CC-NLR
A0A3B6N364,Community1,CC-NLR
A0A2K2DCX2,Community1,CC-NLR
A0A453MLZ0,Community1,CC-NLR
A0A3B6PVW9,Community1,CC-NLR
A0A3B6TD77,Community1,CC-NLR
A0A453A3L1,Community1,CC-NLR
A0A453JVQ0,Community1,CC-NLR
A0A4U6U1D3,Community1,CC-NLR
A0A811QCN6,Community1,CC-NLR
A0A811QE48,Community1,CC-NLR
A0A811QGJ9,Community1,CC-NLR
A0A811QN31,Community1,CC-NLR
A0A811RRW4,Community1,CC-NLR
A0A835E219,Community1,CC-NLR
A2XKF8,Community1,CC-NLR
B8BBR4,Community1,CC-NLR
F2D0M7,Community1,CC-NLR
I1R5G7,Community1,CC-NLR
I1R6A2,Community1,CC-NLR
K3YG31,Community1,CC-NLR
A0A811QDU0,Community1,CC-NLR
K4A5G6,Community1,CC-NLR
M7ZCM7,Community1,CC-NLR
A0A0D3HN29,Community1,CC-NLR
A0A0E0LUK3,Community1,CC-NLR
A0A3B5Z5Z2,Community1,CC-NLR
A0A3G2KWR1,Community1,CC-NLR
A0A3G2KWS3,Community1,CC-NLR
A0A3L6R6N9,Community1,CC-NLR
A0A4U6U4E4,Community1,CC-NLR
A0A6G8D918,Community1,CC-NLR
D2KPB2,Community1,CC-NLR
M8AWJ5,Community1,CC-NLR
Q6EST1,Community1,CC-NLR
A0A0P0XF87,Community1,CC-NLR
K3ZFL4,Community1,CC-NLR
A0A4V6D9T0,Community1,CC-NLR
A0A368QJK4,Community1,CC-NLR
A0A3B6TE11,Community1,CC-NLR
A0A0R0IVN3,Community1,CC-NLR
I1N0L6,Community1,CC-NLR
K7LA50,Community1,CC-NLR
I1KYA7,Community1,CC-NLR
I1KYE4,Community1,CC-NLR
A0A072V757,Community1,CC-NLR
A0A0B2R420,Community1,CC-NLR
A0A0B2SFM2,Community1,CC-NLR
A0A0L9TH46,Community1,CC-NLR
A0A0R0EIG5,Community1,CC-NLR
A0A0R0EY34,Community1,CC-NLR
A0A0R0F802,Community1,CC-NLR
I1N0E1,Community1,CC-NLR
A0A0B2SG67,Community1,CC-NLR
A0A0R0F6M1,Community1,CC-NLR
A0A151QNZ9,Community1,CC-NLR
A0A151QP79,Community1,CC-NLR
A0A445FQQ8,Community1,CC-NLR
A0A445FQR4,Community1,CC-NLR
I1N0E0,Community1,CC-NLR
K7K0Y7,Community1,CC-NLR
K7MQQ6,Community1,CC-NLR
V7BND1,Community1,CC-NLR
A0A0R0F8I1,Community1,CC-NLR
A0A0R0F9D0,Community1,CC-NLR
K7MQQ8,Community1,CC-NLR
A0A2R6Q3A9,Community1,CC-NLR
A0A0R0F9Y9,Community1,CC-NLR
A0A0S3S6R6,Community1,CC-NLR
A0A0R0EXZ3,Community1,CC-NLR
A0A4D6KNT9,Community1,CC-NLR
A0A0R0IVH2,Community1,CC-NLR
A0A0S3S6X6,Community1,CC-NLR
A0A0L9TFU7,Community1,CC-NLR
A0A151UDF4,Community1,CC-NLR
A0A2K3MZM1,Community1,CC-NLR
A0A2Z6PNK6,Community1,CC-NLR
A0A834X0W1,Community1,CC-NLR
A0A2Z6NW06,Community1,CC-NLR
A0A396INN8,Community1,CC-NLR
A0A445FQP5,Community1,CC-NLR
A0A445FQP7,Community1,CC-NLR
A0A0B2SAM0,Community1,CC-NLR
A0A151S5W6,Community1,CC-NLR
A0A445FQQ2,Community1,CC-NLR
A0A445FQQ5,Community1,CC-NLR
A0A4D6KL34,Community1,CC-NLR
A0A0R0F9N6,Community1,CC-NLR
A0A151R5G5,Community1,CC-NLR
A0A1S3VJP9,Community1,CC-NLR
A0A445FQP4,Community1,CC-NLR
A0A4D6KL24,Community1,CC-NLR
A0A4D6KL92,Community1,CC-NLR
A0A4D6KNU8,Community1,CC-NLR
A0A4D6KSW2,Community1,CC-NLR
A0A4D6KUT5,Community1,CC-NLR
A0A4D6KX23,Community1,CC-NLR
I1N0E2,Community1,CC-NLR
I1N0E5,Community1,CC-NLR
K7MQN1,Community1,CC-NLR
A0A0R0EYM5,Community1,CC-NLR
A0A151QNV8,Community1,CC-NLR
A0A445FQS6,Community1,CC-NLR
A0A445FQS3,Community1,CC-NLR
A0A445FQT9,Community1,CC-NLR
A0A445FQU3,Community1,CC-NLR
A0A445FQW4,Community1,CC-NLR
A0A445FQW7,Community1,CC-NLR
A0A445FQV9,Community1,CC-NLR
A0A0R0EY38,Community1,CC-NLR
A0A445FQX6,Community1,CC-NLR
G7J1I4,Community1,CC-NLR
I1N0L8,Community1,CC-NLR
A0A0R0EYC2,Community1,CC-NLR
I1N0L9,Community1,CC-NLR
K7MQM9,Community1,CC-NLR
K7MTB0,Community1,CC-NLR
A0A0U2QMK8,Community1,CC-NLR
A0A3B6CHR6,Community1,CC-NLR
A0A3B6LZ75,Community1,CC-NLR
M8D806,Community1,CC-NLR
A0A0U2S1X2,Community1,CC-NLR
A0A151TM44,Community1,CC-NLR
A0A1S3VWM7,Community1,CC-NLR
A0A4D6LK25,Community1,CC-NLR
A0A199UPK0,Community1,CC-NLR
A0A0E0F5X2,Community1,CC-NLR
A0A6J0PCF2,Community1,CC-NLR
A0A199VPB1,Community1,CC-NLR
A0A2S3HP35,Community1,CC-NLR
A0A4U6VRK6,Community1,CC-NLR
A0A5D3ACQ2,Community1,CC-NLR
A0A5J5WXI5,Community1,CC-NLR
A0A5D2W4H2,Community1,CC-NLR
A0A6P5ECV7,Community1,CC-NLR
A0A6P5FLE5,Community1,CC-NLR
A0A7J9IPA3,Community1,CC-NLR
A0A5N5FVX6,Community1,CC-NLR
A0A6P5EJF2,Community1,CC-NLR
A0A6P5ELY6,Community1,CC-NLR
A0A811QXX2,Community1,CC-NLR
K3XDZ6,Community1,CC-NLR
A0A3B6EQV9,Community1,CC-NLR
A0A4U6V472,Community1,CC-NLR
A0A6P6SVH3,Community1,CC-NLR
A0A811P9J3,Community1,CC-NLR
A0A199VFR7,Community1,CC-NLR
A0A453DYY4,Community1,CC-NLR
A0A3B6FHF8,Community1,CC-NLR
N1QTI4,Community1,CC-NLR
A0A218VSN4,Community1,CC-NLR
A0A218XQ41,Community1,CC-NLR
A0A6P8BP29,Community1,CC-NLR
A0A2Z6N746,Community1,CC-NLR
A0A396HDT0,Community1,CC-NLR
A0A068UTB1,Community1,CC-NLR
A0A6I9SLN4,Community1,CC-NLR
A0A6P5EJT7,Community1,CC-NLR
Q53RK5,Community1,CC-NLR
A0A6J5XZD6,Community1,CC-NLR
A0A803LGR9,Community1,CC-NLR
A0A6P5EE15,Community1,CC-NLR
A0A6P5ELA8,Community1,CC-NLR
A0A6P5ENS9,Community1,CC-NLR
A0A0B5ACT4,Community1,CC-NLR
A0A453KL71,Community1,CC-NLR
A0A6P5FQQ6,Community1,CC-NLR
A0A6P6UYF4,Community1,CC-NLR
A0A6P8ERG8,Community1,CC-NLR
A0A6V7QKI5,Community1,CC-NLR
A0A6V7QL62,Community1,CC-NLR
A0A833R707,Community1,CC-NLR
A0A1B6P5W0,Community1,CC-NLR
A0A1D5UVM1,Community1,CC-NLR
A0A3B5YR85,Community1,CC-NLR
A0A3B6AP38,Community1,CC-NLR
A0A3B6AQ95,Community1,CC-NLR
A0A3B6BXE9,Community1,CC-NLR
A0A453A9L7,Community1,CC-NLR
A0A453A9Q6,Community1,CC-NLR
A0A0E0BLT1,Community1,CC-NLR
A0A0E0J554,Community1,CC-NLR
A0A2N9HGZ9,Community1,CC-NLR
A0A2Z7CN48,Community1,CC-NLR
A0A314KS43,Community1,CC-NLR
A0A6D2L975,Community1,CC-NLR
A0A6P3ZDK4,Community1,CC-NLR
A0A7N2MYC6,Community1,CC-NLR
A0A7N2MYI2,Community1,CC-NLR
I1R1V3,Community1,CC-NLR
Q1WGB1,Community1,CC-NLR
A0A6G1CY30,Community1,CC-NLR
A0A061F0E8,Community1,CC-NLR
A0A0E0PTH3,Community1,CC-NLR
A0A0K0WRD3,Community1,CC-NLR
A0A3B6I245,Community1,CC-NLR
A0A3B6I259,Community1,CC-NLR
A0A3B6I2K4,Community1,CC-NLR
A0A3B6I451,Community1,CC-NLR
A0A3B6I5H0,Community1,CC-NLR
A0A3B6R7E4,Community1,CC-NLR
A0A3B6TBU1,Community1,CC-NLR
A0A3B6TBU9,Community1,CC-NLR
A0A3Q9R4L4,Community1,CC-NLR
A0A453QEW6,Community1,CC-NLR
A0A453QFA8,Community1,CC-NLR
A0A453QFI0,Community1,CC-NLR
E2CU66,Community1,CC-NLR
M8AR34,Community1,CC-NLR
Q84KC5,Community1,CC-NLR
A0A0E0B383,Community1,CC-NLR
A0A0E0HCA4,Community1,CC-NLR
A0A0E0PKF0,Community1,CC-NLR
A0A1E5VAN7,Community1,CC-NLR
A0A1Z5RGX8,Community1,CC-NLR
I1Q1N5,Community1,CC-NLR
A0A1Z5RHC5,Community1,CC-NLR
A0A0D9WPD4,Community1,CC-NLR
A0A7N2M7X6,Community1,CC-NLR
A0A1Z5RHV5,Community1,CC-NLR
A0A3B6ARJ0,Community1,CC-NLR
A0A3B6RB97,Community1,CC-NLR
A0A453QEB7,Community1,CC-NLR
A0A453QEW8,Community1,CC-NLR
A0A3B6RB54,Community1,CC-NLR
E2CU78,Community1,CC-NLR
A0A4U6UWJ0,Community1,CC-NLR
A0A4S4CZR3,Community1,CC-NLR
K3XV16,Community1,CC-NLR
A0A540LX68,Community1,CC-NLR
A0A022Q467,Community1,CC-NLR
A0A498J5E5,Community1,CC-NLR
A0A5E4FRD8,Community1,CC-NLR
A0A7J7NCZ0,Community1,CC-NLR
M5WXP7,Community1,CC-NLR
W0LWQ3,Community1,CC-NLR
A0A804L563,Community1,CC-NLR
A0A811ND48,Community1,CC-NLR
A0A811QGM2,Community1,CC-NLR
A0A835KKP8,Community1,CC-NLR
A0A2T7CLD4,Community1,CC-NLR
A2WNA9,Community1,CC-NLR
A0A0U2RG49,Community1,CC-NLR
A2ZU51,Community1,CC-NLR
A0A3B6TVT5,Community1,CC-NLR
E2CU71,Community1,CC-NLR
A0A199W8Q7,Community1,CC-NLR
A0A1P8CYS2,Community1,CC-NLR
A0A2N9IHZ9,Community1,CC-NLR
A0A3B6R7D6,Community1,CC-NLR
A0A411DB80,Community1,CC-NLR
E2CU77,Community1,CC-NLR
I1Q1N1,Community1,CC-NLR
K3XV20,Community1,CC-NLR
M0VJ51,Community1,CC-NLR
M7ZW40,Community1,CC-NLR
M7ZWJ5,Community1,CC-NLR
A0A3B6CGZ0,Community1,CC-NLR
Q1WGB0,Community1,CC-NLR
A0A811QHN9,Community1,CC-NLR
A0A1D6I273,Community1,CC-NLR
A0A3B6KHM7,Community1,CC-NLR
A0A3B6LJN7,Community1,CC-NLR
A0A3B6LL65,Community1,CC-NLR
A0A3B6MS34,Community1,CC-NLR
A0A453KM12,Community1,CC-NLR
A0A453KM28,Community1,CC-NLR
A0A0Q3H975,Community1,CC-NLR
A0A368Q0A9,Community1,CC-NLR
A0A3B6LLI7,Community1,CC-NLR
A0A2T7ERB2,Community1,CC-NLR
A0A3B6MPH8,Community1,CC-NLR
A0A453KMH5,Community1,CC-NLR
A0A6P5YU26,Community1,CC-NLR
A0A804Q7Y4,Community1,CC-NLR
A0A453JHS2,Community1,CC-NLR
C3SBK3,Community1,CC-NLR
F6JSA3,Community1,CC-NLR
A0A0D3H5B4,Community1,CC-NLR
A0A0E0B1H4,Community1,CC-NLR
A0A0E0HK79,Community1,CC-NLR
A0A5B8P5M1,Community1,CC-NLR
A0A5J9SP96,Community1,CC-NLR
C5X9V8,Community1,CC-NLR
J3MWJ5,Community1,CC-NLR
A0A5J9W4R5,Community1,CC-NLR
A0A1W0W4I8,Community1,CC-NLR
A0A3L6DWZ9,Community1,CC-NLR
A0A540LHA6,Community1,CC-NLR
F2DBI7,Community1,CC-NLR
A0A6P4AVA3,Community1,CC-NLR
A0A2P6PQG7,Community1,CC-NLR
A0A6P5U2K8,Community1,CC-NLR
A0A1D6IRP0,Community1,CC-NLR
A0A1D6IRL1,Community1,CC-NLR
A0A2P5AWU1,Community1,CC-NLR
A0A067L488,Community1,CC-NLR
A0A0F6RAM2,Community1,CC-NLR
A0A200Q8R0,Community1,CC-NLR
